Company Name,Rating,Review Count,Category,Address,Website,Search Term
Jax Wholesale & Liquidation,4.5,13,Wholesaler,2940 Mercury Rd,http://www.jaxliquidation.com/,"Jacksonville, FL Wholesaler"
Bargain wholesale,5.0,1,Wholesaler,6180 Fort Caroline Rd Suite #1,,"Jacksonville, FL Wholesaler"
Taj Wholesale,5.0,5,Wholesaler,4200 Baymeadows Rd,https://www.tajwholesale.com/,"Jacksonville, FL Wholesaler"
Tornado Wholesale,5.0,1,Wholesaler,5535 Beach Blvd,,"Jacksonville, FL Wholesaler"
JF & R Wholesale,5.0,1,Wholesaler,11221 St Johns Industrial Pkwy S,,"Jacksonville, FL Wholesaler"
Mainstreet Supply,4.8,62,Wholesale grocer,3717 Vance St,https://mainstreetjax.business.site/?utm_source=gmb&utm_medium=referral,"Jacksonville, FL Wholesaler"
Allen Wholesale Supply,4.8,62,Wholesaler,2403 Market St,https://steamsuppliers.com/,"Jacksonville, FL Wholesaler"
Adel Wholesale,4.8,62,Wholesaler,2500 Charlevoix St,http://www.adelwholesale.com/location.php,"Jacksonville, FL Wholesaler"
Hearth and Home Wholesale LLC,4.6,16,Wholesaler,4329 Emerson St,,"Jacksonville, FL Wholesaler"
Mr Green Smoke Shop Wholesale,4.6,9,Wholesaler,6271 St Augustine Rd Suite 10,,"Jacksonville, FL Wholesaler"
falcon wholesale,4.6,9,Wholesaler,2302 Vinson Ln,http://www.falconswholesale.com/,"Jacksonville, FL Wholesaler"
United World Imports Wholesale & Distrubution,5.0,4,Wholesaler,11655 Central Pkwy,https://unitedglobaltrade.com/,"Jacksonville, FL Wholesaler"
Transamerican Wholesale,4.3,6,Wholesaler,13920 Alvarez Rd,https://www.transamericanwholesale.com/,"Jacksonville, FL Wholesaler"
Felix torres Clothing store,4.3,6,Clothing wholesaler,648 E Union St,,"Jacksonville, FL Wholesaler"
K&S Wholesale inc,4.2,5,Tobacco supplier,5151 Sunbeam Rd Ste 8,https://knswholesale.com/,"Jacksonville, FL Wholesaler"
The Garden Produce,3.9,54,Produce wholesaler,5400 Longleaf St,http://www.thegardenproduce.com/,"Jacksonville, FL Wholesaler"
Moss plug wholesale distributions,3.9,54,Wholesale market,6407 Hughes St,,"Jacksonville, FL Wholesaler"
Kelly's Foods,4.8,26,Meat wholesaler,2240 Dennis St,http://home.kellysfoods.com/,"Jacksonville, FL Wholesaler"
Wholesale Building Products,3.3,13,Wholesaler,5933 Broadway Ave,https://wholesalebuildingproducts.com/,"Jacksonville, FL Wholesaler"
Sysco Jacksonville - Wholesale Restaurant Food Supplies,2.8,170,Food products supplier,1501 Lewis Industrial Dr,https://sysco.com/Contact/Contact/Our-Locations/Jacksonville?utm_medium=googlemybusiness&utm_source=google.com&utm_campaign=gmb_opcopages&utm_content=Jacksonville,"Jacksonville, FL Wholesaler"
Wholesale Jewelry Jacksonville,5.0,3,Wholesale jeweler,Deer Lake Ct,https://www.we-silver-jewels.com/?utm_source=Google%20My%20Business&utm_medium=Local%20Listing&utm_campaign=Jacksonville%20FL,"Jacksonville, FL Wholesaler"
Mary's Wholesale Furniture,3.0,34,Furniture wholesaler,5062 W Beaver St,http://www.maryswholesalefurniture.net/,"Jacksonville, FL Wholesaler"
Frisch Enterprises Inc,3.0,34,Wholesaler,1741 W Beaver St,,"Jacksonville, FL Wholesaler"
Aluminum Products Wholesale,4.5,8,Wholesaler,11243 Distribution Ave E #2761,https://apw-aluminum.com/,"Jacksonville, FL Wholesaler"
Naddaf Wholesale,4.7,66,Store,"32206, 5030 Spring Park Rd",,"Jacksonville, FL Wholesaler"
